HEAD	RELATION	TAIL
Percutaneous approach	access_of	Intrauterine transfusion
Closed approach	access_of	Manual external cardiac massage with closed chest
Percutaneous approach	access_of	Percutaneous insertion of nephrostomy tube
Open approach	access_of	Open biopsy of brain tissue
Open approach	access_of	Open biopsy of nasal sinus
Open approach	access_of	Open biopsy of tongue
Open approach	access_of	Open biopsy of lung
Percutaneous approach	access_of	Percutaneous cardiopulmonary bypass support
Open approach	access_of	Open dilatation of pylorus
Percutaneous approach	access_of	Percutaneous aspiration of bladder
Open approach	access_of	Open biopsy of bladder
Open approach	access_of	Open biopsy of prostate
Open approach	access_of	Open biopsy of testis
Open approach	access_of	Open biopsy of breast
Open approach	access_of	Incisional biopsy - action
Closed approach	access_of	Closed insertion of therapeutic device
Open approach	access_of	Repair of fracture with osteotomy and correction of alignment with internal fixation device
Open approach	access_of	Open condylotomy of mandible
Closed approach	access_of	Closed condylotomy of mandible
Closed approach	access_of	Closed osteotomy of mandibular angle
Open approach	access_of	Open osteotomy of mandibular angle
Closed approach	access_of	Closed osteoplasty of mandibular ramus
Open approach	access_of	Open osteoplasty of mandibular ramus
Open approach	access_of	Open biopsy of vertebral body of cervical region
Open approach	access_of	Open biopsy of vertebral body of thoracic region
Open approach	access_of	Open biopsy of vertebral body of lumbar region
Open approach	access_of	Open biopsy of sacrococcygeal region
Open approach	access_of	Gluteal-iliotibial fasciotomy, Ober type procedure
Open approach	access_of	Ober-Yount fasciotomy, combined with spica cast, pins in tibia and wedging the cast
Open approach	access_of	Bankhart type operation with stapling
Open approach	access_of	Arthrotomy for infection with exploration and drainage of carpometacarpal joint
Open approach	access_of	Open iliotibial fasciotomy
Open approach	access_of	Open tenotomy of extensor of foot
Open approach	access_of	Open tenotomy of extensor of toe
Percutaneous approach	access_of	Manual reduction of closed fracture of talus with percutaneous pinning
Percutaneous approach	access_of	Reduction of closed tarsal bone dislocation with percutaneous skeletal fixation
Percutaneous approach	access_of	Reduction of closed tarsometatarsal joint dislocation with percutaneous skeletal fixation
Open approach	access_of	Total ethmoidectomy by extranasal approach
Percutaneous approach	access_of	Aspiration of trachea, percutaneous
Open approach	access_of	Open biopsy of bronchus
Open approach	access_of	Carinal reconstruction
Percutaneous approach	access_of	Percutaneous core needle biopsy of lung
Percutaneous approach	access_of	Percutaneous fine needle biopsy of lung
Open approach	access_of	Thoracotomy for excision of emphysematous bleb of lung
Open approach	access_of	Open biopsy of pleura
Percutaneous approach	access_of	Percutaneous core needle biopsy of pleura
Percutaneous approach	access_of	Percutaneous fine needle biopsy of pleura
